Tanggal,Komentar
2026-06-30,oalah bentar juga bubar srimulat x kud aja bubar aplg kopdes
2026-06-30,"Kopdes merah putih itu akan menghabisi pedagang2 kecil di desa maka nya kitaharus belanja di kedai2 masyarakat itu untuk memajukan usaha usaha rakyat, jangannmendukung usaha usaha yg terindikasi akan di korupsi yg mendidrikan nyanpun orang orang yg korupsi."
2026-06-30,Tidak akan bertahan lama bangkrut besar pasak dari tiang buktikan.
2026-06-30,Kami yakin jadi bangunan mangkrak tiap kelurahan di Indonesia bakal ada bangunan mangkrak terburu buru persiapan blm matang
2026-06-29,ABS😂😂😂😂
2026-06-29,"Lama,,muter2 ,,,byk cakap2 nyaa"
2026-06-29,Prabowo harus memastikan dia bisa terpilih lagi di 2029 Kalau yg terpilih bukan dia atau bukan orang di lingkaran nya bisa di pastikan banyak yg masuk penjara
2026-06-28,Kami tidak yakin KDMP ini bisa bertahan lama kami yakin seyakin yakinnya ini adalah sarang korupsi bagi aparat caba sama sama kita lihat nanti
2026-06-27,Rakyat mendokan semoga koperasi merah putih segera bangkruuuut
2026-06-27,Kalau di suruh kesitu Milih ke Simpan Pinjam nya aja kita pinjam 10 juta wk wk wk habis itu
2026-06-26,Bangkruuut bangkruuuuuuut
2026-06-26,Mematikan usaha warung
2026-06-26,"Mudahan bisa pk prabowo membangun MOL di setiap desa, agar supaya rakyat di desa bisa menikmati gaya hidup seperti orang kota,"
2026-06-25,Ya ALLAH Presiden paling parah dalam sejarah presiden di Indonesia. Sumpah nyesel banget dulu aku pilih prabowo 🙏🙏🙏 MBG dan KMP 👎👎👎
2026-06-22,Intinya KDMP ini program yg dipaksakn tmpa pross pleaning atau rencana yg matang Maka nya asal jadi asal ada saja ini program Ga gal
2026-06-22,ini KDMP yg lngsung diresmikn bpk presiden keliatan hidup segan mati tak mau Keadaannya seperti gak lancar gak sehat barang barang nya pun bnyak yg kosong melompong
2026-06-22,itu namanya proyek dungu percaya atau tidak kop merah putih bakalan mangkrak
2026-06-21,Proyek bancakan duit rakyat
2026-06-20,"Program pemborosan, miris😢"
2026-06-19,"Selama ini koperasi selalu bangkrut, karena Ketua Untung Duluan (KUD). Tak pernah ada yang tersangka. Karena malingnya berjamaah"
2026-06-19,"Inilah yg namanya program acak-2an ngawur dan dipaksakan, tunggu saja sejau mana dan sampai kapan akan bertahan ya nggak lamalah pasti bangkrut alias gulung tikar, program ini hanya lahan korupsi pejabat saja brooo NKRI harga mati."
2026-06-19,Jika koperasi merah putih tidak jalan diatas 50% maka menteri harus dihukum.
2026-06-18,Fatwa Saya. Haram Hukumnya belanja di KDMP.
2026-06-18,"Zaman Suharto ada KUD, gagal total. Krn gk ada mental wirausada, tabggung jawab, Mantan mensntu, mengulang, lihat saja"
2026-06-18,"klau kdm yg resmikan ,cukup.20 org saja"
2026-06-18,Samasaja menggusur usaha rakyat dan bikin ekonomi rakyat lumpu
2026-06-17,Sering lewat sini. Kadang malem tapi sering juga pas jam2 umumnya toko PD buka. Kesannya seri g sepi. Hanya ada satu dua motor di depan. Terakhir lewat tadi siang Rabu 17 Juni. Situasinya lebih kurang sama saja
2026-06-17,90 persen pasti mangkrak tidak akan berjalan lancar
2026-06-17,Anda itu lgi ngeliput gedung kopdes ap lgi ngeliput jalan
2026-06-17,Lama2 di tiap desa banyak tempat buat uji nyali.bisa2 kopdes di jadikan tempat buat nampung jin dan genderuwo
2026-06-17,Prettttt jaman orde lama KUD kok di baleni bangkrut2 di korup penglolah
2026-06-17,tempat. ku ora. payuu
2026-06-17,Harus nya koperasi merah putih bikin SPBU dan pangkalan gas elpiji aja?
2026-06-16,"Kok gk laku gk lama lg jg gulung tikar atau bangkrut, tunggu aja sambil tidur"
2026-06-16,Tutup aja ayo tutup
2026-06-16,Mending belanja d Deket tetangga yg jualan saling membantu
2026-06-16,Titik poin aja mas
2026-06-16,Kebanyakan naik MTR. Ya bang
2026-06-16,"Gak usah belaja di Kopdes mp, itu sama aja ngasih sm koruptor."
2026-06-16,Dibayar berapa ini orang Dari penampakannya aja kayak penjual lapak yg barang dagangannya sepi kayak makam 🤭🤣🤣
2026-06-15,Mending toko madura 24jam hrga lumayan murah &amp; komplit
2026-06-15,"KOPDES pada sepi itu, yg gaji manajer koperasi nya siapa ya? pasti dari pajak rakyat"
2026-06-15,Memang kalo niat jahat itu gak lama dan amburadul. Memprihatinkan😂😂😂😂
2026-06-15,Maju terus Alfamart dan indomaret.
2026-06-15,Gak lama. Saya yakin.
2026-06-15,Item nya secuil kapan dapat untung 😂😂😂😂 parahhhhh. 😂😂
2026-06-15,Kayaknya sengaja suatu program itu dibuat utk lapangan korupsi dgn mengkambing hitamkan rakyat
2026-06-15,negara rebutan rezeki am pedagang kecil😮😮
2026-06-15,Tdk tau mau bilang apa 🥱🥱🥱
2026-06-15,Gk akan bertahan lama
2026-06-15,Kalimat nya kok di ulang ulang mas
2026-06-14,Ko ga ada ikan asin
2026-06-14,"Memang mereka (KMP) nggak niat jualan, niat mereka kan cuman pengen maling duit rakyat aja."
2026-06-14,"Duit di awur2 te puguh, manfaatkan yg ada kasihkan ke rakyat yg nambah banyak susah. Nya"
2026-06-14,"Ngomonge persis kopdes, Mbulet ndelolor 😭"
2026-06-14,"Inilah program Pemerintah yg bersaing dg rakyatnya sendiri, mestinya Pemerintah bangun Pabrik raksasa, Kendaraan dsb bukannya Mobil Pick up aja impor dari tuan Takur ruwet - ruwet, kira - kira bertahan lama gak ya KDMP ?😅"
2026-06-14,Siapa dulu guru dan panutannya😂
2026-06-14,KOPDES PEMERINTAH JUAL INDOMIE MEMALUKAN ATAU OENGELOLANYA YG OTSK DENGKUL
2026-06-14,Ngenyangin perut perut ternakan wowo
2026-06-14,"Pirang dino Mending buat perbaiki jln didesa2 persis sungai asat ,rusak parah 😮😢"
2026-06-14,"Bersaing kok dgn rakyat harusnya bersaing dgnluar sana rakyat kecil kecites ,warung2 sepi bakul2 pentol kukut ,gara2 gak ada anak jajan bangkrut dong wong cilik ."
2026-06-14,PROGAM GAK BERMUTU
2026-06-14,KLO cuma kayak gitu aja warung tetangga saya lebih lengkap 😂😂😂
2026-06-14,Program Amburadul n Omon²
2026-06-14,Mengapa pemerintah tidak merevitalisasi KUD yang sudah ada malah bangun kdmp
2026-06-14,Belanjanya orang kecil suka diwarung tetangga / dipasar tradisional yang dekat
2026-06-14,Buang buang uang rakyat
2026-06-14,Sepi
2026-06-13,Terus klo harganya bersaing ga sama alfa indomart?
2026-06-13,"Tambahin gerai pertamini aja semua kdmp nya, tp harganya sama kyk di pom bensin,pasti rame"
2026-06-13,Ya inilah hasilnya MBG KDSMP dampaknya BBM naik pajak naik untuk mendukung program korupsi berjamaah
2026-06-13,Akan indah pada waktunya😅
2026-06-13,Persaingan bebas pemerintah dan swasta
2026-06-13,Konten penjilat pemerintah
2026-06-13,"Bukan untuk rakyat tapi untuk karyawannya,tidak ubahnya seperti indomart dan Alfamart"
2026-06-13,"Di warung saja dekat rumah bisa ngutang dulu , kalau di kopdes bisa ngutang engga 😂"
2026-06-13,Terlalu ambisi grasa grusuh harusnya percobaan dulu satu kabupaten jika berhasil kita kembangkan di propinsi jika gagal kan gak banyak rugi
2026-06-13,"kop merah putih nggk bakalan jalan, alias mangkrak liat aja"
2026-06-13,"Gak jalan itu kmp, tempat nya jauh dari pemukiman"
